group_1,group_2,n_1,n_2,median_1,median_2,median_diff_1_minus_2,u_statistic,p_value,p_adj_holm,reject_0.05,sig
전북,제주,20,20,9.416350056279093,10.568130553046787,-1.1517804967676941,103.0,0.009042159334392012,1.0,False,n.s.
전북특별자치도,제주,38,20,10.471695434556045,10.568130553046787,-0.09643511849074216,360.0,0.7497255383956349,1.0,False,n.s.
전북특별자치도,제주특별자치도,38,57,10.471695434556045,11.345902288920296,-0.8742068543642514,774.5,0.01929257744259898,1.0,False,n.s.
전북,충남,20,70,9.416350056279093,9.848306928283193,-0.4319568720041005,564.0,0.1884755573889828,1.0,False,n.s.
전북,충북,20,48,9.416350056279093,9.383129695534837,0.03322036074425583,475.0,0.9516996045946347,1.0,False,n.s.
전북특별자치도,충북,38,48,10.471695434556045,9.383129695534837,1.0885657390212078,1166.0,0.027491113102489313,1.0,False,n.s.
전북특별자치도,충남,38,70,10.471695434556045,9.848306928283193,0.6233885062728515,1497.0,0.2840991394666639,1.0,False,n.s.
제주,충남,20,70,10.568130553046787,9.848306928283193,0.7198236247635936,851.0,0.14411168264304675,1.0,False,n.s.
제주,제주특별자치도,20,57,10.568130553046787,11.345902288920296,-0.7777717358735092,394.0,0.04146773802019159,1.0,False,n.s.
제주,충북,20,48,10.568130553046787,9.383129695534837,1.18500085751195,665.0,0.013014169165702028,1.0,False,n.s.
충남,충북,70,48,9.848306928283193,9.383129695534837,0.4651772327483563,1955.5,0.1319113836022948,1.0,False,n.s.
